workflow_id,workflow_name,source_repo,normalized_domain,workflow_family,fit,quality_tier,codex_usefulness,source_url_status,confidence,real_life_job,input_contract,output_artifact,validation_gate,human_review_boundary,safety_boundary,what_to_copy,what_to_ignore,canonical_source_url,tags
surface-0157,/test-suite,tinh2/skills-hub-registry,public_evidence,config_package_registry,codex_config_candidate,gold,copy_or_adapt_now,canonicalized,high,"Assess a project test suite across unit, integration, E2E, load, visual, contract, and accessibility coverage, then prioritize remediation work.","Current project files and optional focus arguments for modules or areas; detects stack config, test directories, coverage tooling, and source surface.","Test Coverage Health Report with project summary, category scores, line coverage when available, critical gaps, quality notes, and recommended next test-skill routing.","Run existing coverage tools when configured, classify test files by category, score each category 0-10, and avoid modifying source or test files in this analysis skill.",Human review is needed before acting on remediation recommendations or changing tests; the skill itself is analysis and routing only.,"Read-only project analysis; do not install packages, generate tests, modify source, or inflate scores.","Copy the stack-detection inventory, testing-category taxonomy, weighted scoring model, prioritized remediation routing, and explicit no-edit boundary.",Ignore telemetry paths or platform-specific memory writes unless reworked into the local ECC contract.,https://raw.githubusercontent.com/tinh2/skills-hub-registry/main/test/test-suite/SKILL.md,testing;coverage;audit;routing;config-package;skill-registry
surface-0158,/ux,tinh2/skills-hub-registry,public_evidence,config_package_registry,runtime_platform_inspiration,gold,strong_reference,canonicalized,high,"Audit an application interface for usability, accessibility, motion, and design-system consistency, or validate implementation against provided mockups.","Current codebase plus optional screen or feature focus, audit or validation mode override, design mockups, screenshots, Figma frames, design-system specs, or brand guidelines.","UX findings grouped by screen and severity, including heuristic violations, WCAG issues, motion problems, design-token inconsistencies, and suggested fixes.","Detect platform and mode, inventory screens and tokens, evaluate against usability heuristics, WCAG 2.1 AA, motion standards, and design-system consistency.",Human review is needed before committing UI changes or accepting subjective design tradeoffs; catalog use can remain advisory.,"May imply code fixes in the source skill, but for ECC cataloging keep it as a reference pattern until copied into a read/write-approved workflow contract.","Copy the dual-mode audit/validation contract, screen inventory, theme-token inventory, WCAG checklist, motion review, and severity model.",Ignore autonomous commit behavior and any platform-specific assumptions not approved by the local ECC safety boundary.,https://raw.githubusercontent.com/tinh2/skills-hub-registry/main/ux/ux/SKILL.md,ux;accessibility;design-system;motion;audit;config-package;skill-registry
surface-0164,design-to-code,tinh2/skills-hub-registry,public_evidence,config_package_registry,codex_config_candidate,gold,copy_or_adapt_now,canonicalized,high,"Turn design specs, Figma references, screens, or a full app into production-quality frontend code with design tokens, responsive layouts, dark mode, and UX audit validation.","Design specs, Figma references, screenshots, app screens, or full-app design overhaul request supplied as arguments.","Implemented design system, responsive UI, dark mode support, UX audit fixes, validation summary, and optional telemetry entry.","Self-healing validation up to 3 iterations; stop when zero Critical/High issues remain, build and tests pass, and no new issues are introduced.",optional unless output affects a person or external system,Keep as reference pattern until copied into an ECC contract; do not treat automated UX/accessibility claims as final without project review.,"Phase sequencing, explicit input contract, design-token requirements, accessibility/responsive checks, self-healing validation, structured completion report.","Autonomous no-question instruction, commit requirements, and platform-specific telemetry paths unless adapted to the local ECC contract.",https://raw.githubusercontent.com/tinh2/skills-hub-registry/main/combo/design-to-code/SKILL.md,combo;design-system;responsive-ui;dark-mode;ux-audit;frontend;validation
surface-0129,Security Monitoring,ritik-prog/n8n-automation-templates-5000,public_evidence,document_transformation,runtime_platform_inspiration,silver,strong_reference,canonicalized,medium,"Use the catalog-level Security Monitoring category as inspiration for watch, detect, route, and alert workflows.","Event trigger, app credentials, logs or monitoring records, security events, message/document source, and alert destinations.","automation run, notification, transformed record, queued task, or monitoring alert.",Original README blob URL returned 404 in this session; use the repository root README rendering as fallback and inspect concrete security templates before relying on behavior.,recommended before sending/publishing/writing externally,do not treat runtime platform as Codex architecture unless explicitly chosen,"Monitoring category framing, trigger types, error/retry expectation, and alert handoff concepts.","Claims of production readiness without template-level review, n8n-specific runtime assumptions, and autonomous security actions without human approval.",https://github.com/ritik-prog/n8n-automation-templates-5000,n8n;security_monitoring;alerts;polling;webhook;runtime_reference
surface-0152,/document,tinh2/skills-hub-registry,public_evidence,document_transformation,skill_package_reference,gold,copy_or_adapt_now,exact_page_reachable,high,"Audit a project's documentation health and identify missing or stale README, changelog, API docs, ADRs, runbooks, onboarding docs, diagrams, and license files.","Project path or arguments naming a documentation area such as API docs, ADRs, runbooks, or onboarding.","Documentation health report with project context, maturity tier, inventory, coverage score, gaps, and priority actions.","Verify required report sections are present, links resolve, placeholders are absent, and code examples are syntactically valid.","Optional unless documentation changes affect a person, external system, compliance claim, or published output.",Keep as reference pattern until copied into an ECC contract; the evidence does not support OCR or PDF extraction behavior.,"Copy the audit structure: detect stack and maturity, inventory docs, score gaps, recommend next actions, validate report completeness.","Ignore the input hint about PDFs/forms because the source is a documentation audit skill, not a document extraction skill.",https://github.com/tinh2/skills-hub-registry/tree/main/docs/document,documentation-audit;docs-health;inventory;gap-analysis;skill-reference;category-mismatch
surface-0001,All skills audit export,CaseMark/skills,public_evidence,evidence_due_diligence,codex_config_candidate,needs_verification,use_with_caution,exact_page_sparse,medium-low,"Use a skills audit export as a registry-shaped reference for matching, routing, or expanding reusable skill/package catalog entries.","repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,Inspect raw JSON before copying fields or schema assumptions; treat page-level evidence as sparse until raw content is read.,optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,"Registry shape, indexing ideas, category metadata, and audit/export organization after raw JSON validation.","Any unevidenced semantics, stale audit results, or package behavior not represented in the export fields.",https://github.com/CaseMark/skills/blob/main/audit/export/all-skills.json,skill-registry;config-package;catalog;audit-export;sparse-evidence
surface-0002,Capital skills,CaseMark/skills,public_evidence,evidence_due_diligence,codex_config_candidate,needs_verification,use_with_caution,exact_page_sparse,medium-low,Use a capital-focused skills folder as a reference for organizing finance-adjacent reusable skill packages and router surfaces.,"repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,Inspect concrete files inside the folder before deriving skill behavior; directory-level evidence is sparse.,optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,"Folder/category organization, naming conventions, and manifest or registry patterns once concrete files are verified.","Financial advice behavior, external actions, or workflow claims not evidenced by specific files.",https://github.com/CaseMark/skills/tree/main/capital,skill-registry;config-package;finance;capital;sparse-evidence
surface-0003,Case development skills,CaseMark/skills,public_evidence,evidence_due_diligence,codex_config_candidate,needs_verification,verify_source_first,broken,low,Route messy legal case-development intake or review work to an appropriate reusable surface when human legal review remains required.,"repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,Confirm source page or canonical repo path before expanding behavior; do not infer unavailable sub-skill details from the title alone.,required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",Only the high-level catalog association to legal case-development routing if later verified from source.,"Do not copy legal conclusions, jurisdiction-specific advice, or unverified workflow behavior.",https://github.com/CaseMark/skills/tree/main/casedev,legal;case-intake;case-development;router;sparse-evidence
surface-0004,Case setup,CaseMark/skills,public_evidence,evidence_due_diligence,skill_package_reference,needs_verification,verify_source_first,broken,low,Route legal case setup work to a reusable surface for organizing intake context before human review.,"repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,Verify exact setup folder contents or canonical README before treating this as more than a catalog door.,required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",The narrow setup label and legal case-intake category after source verification.,"Do not infer document drafting, legal strategy, filing readiness, or approval authority.",https://github.com/CaseMark/skills/tree/main/casedev/setup,legal;case-intake;case-setup;router;sparse-evidence
surface-0005,Finance skills,CaseMark/skills,public_evidence,evidence_due_diligence,codex_config_candidate,needs_verification,use_with_caution,exact_page_sparse,medium-low,"Use a finance skills folder as a reference for organizing finance-oriented reusable skill packages, manifests, and lookup surfaces.","repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,Inspect concrete files inside the folder before deriving skill behavior; directory-level evidence is sparse.,optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,"Folder/category structure, registry metadata, manifest conventions, and router-surface patterns after file-level verification.","Financial decision logic, external write behavior, or workflow claims not grounded in specific source files.",https://github.com/CaseMark/skills/tree/main/finance,skill-registry;config-package;finance;catalog;sparse-evidence
surface-0006,Legal skills,CaseMark/skills,public_evidence,evidence_due_diligence,codex_config_candidate,needs_verification,verify_source_first,broken,low,Route legal-domain workflow lookup requests to an appropriate reusable legal skill surface while preserving human review boundaries.,"repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,Verify category folder or README before mapping specific legal capabilities.,required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",Broad category routing metadata only if source is later reachable.,"Do not copy or imply legal advice behavior, final-review authority, or jurisdiction-specific coverage.",https://github.com/CaseMark/skills/tree/main/legal,legal;case-intake;legal-review;category;sparse-evidence
surface-0011,Search,CaseMark/skills,public_evidence,evidence_due_diligence,skill_package_reference,needs_verification,verify_source_first,broken,low,Route legal case-development search or lookup tasks to a reusable surface for finding relevant case context before human review.,"repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,"Verify source folder contents before assuming search targets, search providers, or legal-source coverage.",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",Only the search-oriented routing concept after source verification.,"Do not infer authoritative legal research, citation validation, or legal conclusions.",https://github.com/CaseMark/skills/tree/main/casedev/search,legal;case-intake;search;case-development;sparse-evidence
surface-0019,Generated skills catalog,K-Dense-AI/scientific-agent-skills,public_evidence,evidence_due_diligence,skill_package_reference,gold,copy_or_adapt_now,exact_page_reachable,high,"Find research-oriented skill surfaces for database lookup, paper search, literature review, hypothesis generation, research lookup, scholar evaluation, and related evidence workflows.","Research question, source links, database identifiers, paper identifiers, category index entries, repo docs, and user-provided context.","Matched router surface and expansion plan for a research packet, cited lookup, literature workflow, or evaluation pass.","Check the target skill source before reuse; verify cited sources, database provenance, freshness, and whether conclusions require expert review.","Optional for routing and discovery unless output affects a person or external system; expert review needed for high-stakes scientific, medical, compliance, engineering, or safety conclusions.","Keep as reference pattern until copied into an ECC contract with source attribution, uncertainty handling, and review gates.","Copy the skill taxonomy, research use cases, provenance emphasis, and routing hints.",Ignore claims of capability until the specific skill files and required tools are inspected.,https://github.com/K-Dense-AI/scientific-agent-skills/blob/main/docs/skills.md,research;literature;knowledge-synthesis;scientific-databases;citations;router
surface-0020,Literature and paper workflows,K-Dense-AI/scientific-agent-skills,public_evidence,evidence_due_diligence,skill_package_reference,silver,strong_reference,canonicalized,medium,"Run or inspect literature and paper workflow packages for systematic search, citation management, paper lookup, and evidence synthesis with human judgment over conclusions.","Research question, inclusion criteria, databases or paper sources, source links, citation identifiers, PDFs or abstracts, and user-provided context.","Matched literature workflow surface, review plan, cited packet, paper list, or evidence synthesis draft.","Inspect the raw skill file and references before reuse; validate citations, deduplicate papers, check source reachability, and separate evidence from conclusions.","Required before final action or conclusion, especially for medical, legal, engineering, compliance, scientific, or safety-sensitive interpretations.","Must not make legal, medical, engineering, compliance, or safety conclusions without human review; cataloging only, no new skill design.","Copy folder-level routing to literature-review and the expectation of assets, references, scripts, and a skill entrypoint.",Ignore behavior not visible from the folder listing until SKILL.md is read; do not infer full methodology from the root directory alone.,https://github.com/K-Dense-AI/scientific-agent-skills/tree/main/skills/literature-review,literature-review;papers;citations;human-review;research;skill-package
surface-0036,Run academic literature review and paper-output workflows with Aut Sci Write,agentskillexchange/skills,public_evidence,evidence_due_diligence,codex_config_candidate,gold,copy_or_adapt_now,exact_page_reachable,high,"Run scholarly source search, paper collection, PDF evidence extraction, citation syncing, and review or presentation artifact production.","Research topic or user context, scholarly source access, paper PDFs, optional citation/database integrations, Python and Node runtime prerequisites.","Literature review packet, extracted paper evidence, citation set, review document, or presentation artifact.","Verify source availability, extracted evidence, citation integrity, runtime prerequisites, and upstream caveats before relying on outputs.","Required before final research conclusion, publication, or high-consequence use.","Must not make legal, medical, engineering, compliance, or safety conclusions without human review; treat generated reviews as draft research artifacts.","Skill metadata shape, prerequisites, source-linked upstream reference, research stages, evidence extraction and citation artifact boundaries.","Do not copy claims of final scholarly authority, broad runtime assumptions, or any external write/publish behavior without explicit review gates.",https://github.com/agentskillexchange/skills/tree/main/skills/run-academic-literature-review-and-paper-output-workflows-with-aut-sci-write,research;literature-review;papers;citations;pdf-extraction;human-review;skill-reference
surface-0038,Security Operations & GRC Workflows,agentskillexchange/skills,public_evidence,evidence_due_diligence,skill_package_reference,gold,copy_or_adapt_now,exact_page_reachable,high,"Produce audit-ready security, governance, release-risk, policy-evidence, and investigation workflow packets from inspectable technical records.","public records, source links, addresses, entity names, evidence files, repository surfaces, logs, SBOMs, policy artifacts, dependency or configuration evidence","evidence packet, due-diligence brief, caveated report, approval gate packet, SOC timeline, compliance artifact bundle","Require source URL, artifact presence, freshness, and human approval status checks before final conclusions or actions.",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review","Copy the audit packet pattern, approval-gate framing, artifact checklist, and evidence-first language.",Do not copy vendor-specific picks or operational claims without independently checking the underlying tools and context.,https://github.com/agentskillexchange/skills/blob/main/industries/security-operations-grc-workflows.md,security_operations;grc;evidence_audit;approval_gates;compliance_evidence;soc;policy_evidence
surface-0055,Evidence and compliance vocabulary,api-evangelist/use-cases,public_evidence,evidence_due_diligence,source_taxonomy,needs_verification,verify_source_first,broken,low,Use public-evidence and compliance-adjacent vocabulary to label future evidence-audit workflows and source categories.,"public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report",Human checks that labels map to cited source categories before using them in a final catalog or workflow contract.,required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review","Domain labels, use-case naming patterns, and source-taxonomy phrasing if verified later.",Any implied compliance decisioning or expert conclusion not explicitly supported by reviewed sources.,https://github.com/api-evangelist/use-cases/blob/main/README.md,source-taxonomy;public-evidence;evidence-audit;compliance-vocabulary
surface-0061,Examples catalog,ashishpatel26/500-AI-Agents-Projects,public_evidence,evidence_due_diligence,skill_package_reference,needs_verification,verify_source_first,broken,low,Survey a broad agent examples repository for reusable real-estate due-diligence and evidence-audit patterns.,"Public records, source links, addresses, entity names, and evidence files; exact page was missing, so keep this as broad catalog input only.","Evidence packet, due-diligence brief, or caveated report pattern; not directly implemented by the broken source page.",Confirm any copied pattern against an actual reachable nested project before using it in an ECC contract.,Optional unless output affects a person or external system.,Keep as reference pattern until copied into an ECC contract; do not infer behavior from the missing directory.,Only high-level catalog structure and industry indexing ideas after verifying a reachable child project.,Do not copy assumptions from the broken crewAI-examples path or treat the repository index as a real-estate audit workflow.,https://github.com/ashishpatel26/500-AI-Agents-Projects,real_estate;evidence_audit;inspiration_catalog;sparse_fallback
surface-0062,MCP course directory,ashishpatel26/500-AI-Agents-Projects,public_evidence,evidence_due_diligence,inspiration_catalog,silver,strong_reference,canonicalized,medium,Study a beginner course pattern for agent access to an MCP-style data server and adapt only the read/query/report loop for due-diligence workflows.,"Topic prompts, server URL, environment variables, lesson folders, agent scripts, and retrieved source data; real-estate inputs are not present on the course page.","Course examples produce tasks, shared research findings, reviewer feedback, and final reports; due-diligence packets are only an adaptation target.",Require a separate ECC workflow contract before applying this generic course pattern to public records or property evidence.,Optional unless output affects a person or external system.,Keep as reference pattern until copied into an ECC contract; do not treat the course as a domain-specific real-estate workflow.,"MCP data access lesson shape, error-handling emphasis, shared findings, reviewer feedback, and final report pattern.","Do not copy framework-specific runtime assumptions, required API keys, or the healthcare sample topic as domain evidence.",https://github.com/ashishpatel26/500-AI-Agents-Projects/tree/main/crewai_mcp_course,mcp;course;reporting;review_loop;inspiration_catalog
surface-0060,Notebook examples,ashishpatel26/500-AI-Agents-Projects,public_evidence,evidence_due_diligence,skill_package_reference,needs_verification,verify_source_first,broken,low,Browse a curated project index to find reusable agent workflow examples and implementation patterns.,"Repository README, category index, project links, supplied local catalog hints.","Workflow pattern note, reusable skill/package idea, or router match candidate.",Confirm linked category or repository page is reachable; treat missing nested path as broken and avoid inferring notebook behavior beyond repo-index evidence.,"Optional unless the selected pattern will affect a person, external system, or production ECC workflow.","Reference only until copied into an ECC workflow contract with explicit inputs, outputs, validation, and safety boundaries.","High-level catalog organization ideas, category labels, and example discovery flow.",Do not copy framework-specific runtime assumptions or claim a reusable Codex/ECC package exists from the broken nested page alone.,https://github.com/ashishpatel26/500-AI-Agents-Projects,agent_workflows;inspiration_catalog;repo_index;sparse_evidence;fallback
surface-0064,Scope and Curation Rules,danielrosehill/Useful-AI-Agent-Skills,public_evidence,evidence_due_diligence,codex_config_candidate,gold,copy_or_adapt_now,exact_page_reachable,high,Curate installable or reusable agent skill/package resources and exclude generic prompt lists or non-installable services.,"README scope section, SCOPE.md inclusion rules, category index, repository entries.","Catalog inclusion rule, router match, or reusable skill/package reference classification.","Check that a candidate ships a skill artifact or equivalent reusable package convention; exclude generic harnesses, prompt-only libraries, and cloud-only tools without installable artifacts.","Optional unless the catalog decision causes an external action, installation, or production workflow change.","Keep as curation guidance; do not install, publish, or import entries without a separate ECC contract and source review.","Scope taxonomy, inclusion/exclusion criteria, category structure, and curation language around installable skill artifacts.",Do not treat every listed resource as vetted for this workspace; each downstream entry still needs reachability and safety checks.,https://github.com/danielrosehill/Useful-AI-Agent-Skills/blob/main/README.md,agent_workflows;skill_registry;config_package;curation_rules;exact_evidence
surface-0084,Legal industry pack,indranilbanerjee/contentforge,public_evidence,evidence_due_diligence,skill_package_reference,needs_verification,verify_source_first,broken,low,Route legal-industry content or workflow-pack lookup requests to a reusable legal surface when human review remains required.,"repo docs, source links, category indexes, user-provided context",matched router surface and expansion plan,Verify exact legal pack contents or repository README before classifying concrete legal workflows.,required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review",Only source-attributed legal industry-pack routing metadata if later verified.,"Do not infer legal service delivery, compliance coverage, or final legal-document approval behavior.",https://github.com/indranilbanerjee/contentforge/tree/main/skills/legal,legal;industry-pack;case-intake;router;sparse-evidence
surface-0101,Marie MCP,marieai/marie-ai,public_evidence,evidence_due_diligence,runtime_platform_inspiration,needs_verification,translate_pattern_only,exact_page_sparse,low,Look up runtime MCP surface patterns for possible translation into a Codex/ECC-compatible catalog or router surface.,"Repo docs, source links, category indexes, and user-provided context; source behavior must be inspected before reuse.","Matched router surface and expansion plan, limited to inspiration notes unless stronger source evidence is added.",Confirm exact source contents and any README or repo-index fallback before treating this as more than sparse runtime inspiration.,"Recommended before sending, publishing, or writing externally.",Do not treat the runtime platform as Codex architecture unless explicitly chosen; translate only useful patterns back into Codex/ECC.,High-level registry or routing ideas only after source verification.,"Runtime-specific assumptions, platform coupling, and any behavior not directly evidenced by the source.",https://github.com/marieai/marie-ai/tree/main/mcp,runtime-platform;mcp;registry;sparse-evidence;codex-ecc-translation
surface-0102,Orchestrate flow,marieai/marie-ai,public_evidence,evidence_due_diligence,source_taxonomy,needs_verification,use_with_caution,exact_page_sparse,low,Look up orchestration-flow runtime patterns for possible translation into a Codex/ECC router or execution catalog.,"Repo docs, source links, category indexes, and user-provided context; inspect implementation files before deriving behavior.",Matched router surface and expansion plan with source caveats.,Verify the exact folder contents and any canonical README before extracting orchestration assumptions.,"Recommended before sending, publishing, or writing externally.",Do not treat the runtime platform as Codex architecture unless explicitly chosen; translate only evidenced patterns into Codex/ECC.,"Documented flow concepts, boundaries, or naming patterns after verification.","Unverified runtime internals, platform-specific execution semantics, and unsupported agent assumptions.",https://github.com/marieai/marie-ai/tree/main/marie/orchestrate,runtime-platform;orchestration;flow;registry;sparse-evidence
surface-0103,Project template,marieai/marie-ai,public_evidence,evidence_due_diligence,runtime_platform_inspiration,needs_verification,translate_pattern_only,exact_page_sparse,low,Review project-template structure for reusable packaging or starter-layout ideas that could be translated into Codex/ECC conventions.,"Repo docs, source links, category indexes, template files, and user-provided context.","Matched router surface and expansion plan, with template-derived ideas separated from Codex/ECC decisions.",Inspect template contents and repo README before claiming any concrete template behavior or compatibility.,"Recommended before sending, publishing, or writing externally.",Do not treat the runtime platform template as Codex architecture unless explicitly chosen.,"Reusable layout ideas, naming conventions, or bootstrap boundaries only if confirmed in source.",Runtime-specific project assumptions and any generated-app behavior not visible in source.,https://github.com/marieai/marie-ai/tree/main/template,runtime-platform;template;packaging;sparse-evidence;codex-ecc-translation
surface-0104,Query planners,marieai/marie-ai,public_evidence,evidence_due_diligence,source_taxonomy,needs_verification,use_with_caution,exact_page_sparse,low,Look up query-planning runtime patterns for possible translation into Codex/ECC source-routing or lookup-catalog behavior.,"Repo docs, source links, category indexes, query-planner source files, and user-provided context.","Matched router surface and expansion plan, limited to evidenced query-planning concepts.",Confirm folder contents and any README or repo-index explanation before inferring planner semantics.,"Recommended before sending, publishing, or writing externally.",Do not treat the runtime platform as Codex architecture unless explicitly chosen; avoid inventing planning behavior from the folder name alone.,"Evidenced planner interfaces, decomposition vocabulary, or routing boundaries after inspection.","Unverified planner behavior, runtime coupling, and unsupported execution semantics.",https://github.com/marieai/marie-ai/tree/main/marie/query_planner,runtime-platform;query-planning;routing;sparse-evidence;registry
surface-0106,Workspaces,marieai/marie-ai,public_evidence,evidence_due_diligence,source_taxonomy,needs_verification,use_with_caution,exact_page_sparse,low,Review workspace documentation for possible ideas about organizing runtime projects or translating workspace boundaries into Codex/ECC catalog conventions.,"Repo docs, source links, category indexes, workspace documentation, and user-provided context.",Matched router surface and expansion plan with workspace-boundary notes and caveats.,"Read the exact workspace documentation before adopting any workspace model, hierarchy, or operational assumption.","Recommended before sending, publishing, or writing externally.",Do not treat the runtime platform workspace model as Codex architecture unless explicitly chosen.,Confirmed workspace-boundary concepts or naming patterns that map cleanly to Codex/ECC.,Runtime-specific workspace semantics and any deployment or external-write behavior not explicitly required.,https://github.com/marieai/marie-ai/blob/main/docs/workspaces.md,runtime-platform;workspaces;organization;sparse-evidence;codex-ecc-translation
surface-0134,n8n_2000_workflows lane,ritik-prog/n8n-automation-templates-5000,public_evidence,evidence_due_diligence,runtime_platform_inspiration,needs_verification,translate_pattern_only,exact_page_sparse,low,"Browse a large automation-template lane for reusable runtime patterns such as queued task handling, app-triggered actions, notifications, and record transformations.","event trigger, app credentials, records, message/document source","automation run, notification, transformed record, queued task",Confirm the specific template or workflow file before deriving any pattern; treat directory-level evidence as sparse.,recommended before sending/publishing/writing externally,do not treat runtime platform as Codex architecture unless explicitly chosen,"High-level trigger-to-action sequencing, queue or retry ideas, and integration boundary patterns after inspecting concrete workflow files.","Platform-specific execution assumptions, credential handling, and external write behavior unless explicitly selected and reviewed.",https://github.com/ritik-prog/n8n-automation-templates-5000/tree/main/n8n_2000_workflows,automation;runtime-reference;queue-processing;template-lane;sparse-evidence
surface-0135,workflows by Zie619 lane,ritik-prog/n8n-automation-templates-5000,public_evidence,evidence_due_diligence,runtime_platform_inspiration,needs_verification,translate_pattern_only,exact_page_sparse,low,"Browse a contributed automation-workflows lane for reusable runtime execution patterns such as triggered automations, queued work, notifications, and transformed records.","event trigger, app credentials, records, message/document source","automation run, notification, transformed record, queued task",Confirm the specific nested workflow file before extracting behavior; directory-level evidence is sparse.,recommended before sending/publishing/writing externally,do not treat runtime platform as Codex architecture unless explicitly chosen,"Concrete trigger, queue, retry, notification, or record-transformation motifs after source-file inspection.","Platform lock-in, unreviewed third-party writes, credential assumptions, and any behavior not evidenced by a concrete source file.",https://github.com/ritik-prog/n8n-automation-templates-5000/tree/main/workflows by Zie619,automation;runtime-reference;queue-processing;contributed-workflows;sparse-evidence
surface-0163,compliance-suite,tinh2/skills-hub-registry,public_evidence,evidence_due_diligence,skill_package_reference,needs_verification,verify_source_first,broken,low,"Reusable reference for public-record, permit, title, source, and due-diligence evidence packet workflows.","public records, source links, addresses, entity names, evidence files","evidence packet, due-diligence brief, caveated report","Require source reachability, URL attribution, evidence freshness checks, and explicit caveats before relying on the packet.",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review","Only copy source-attribution, evidence-packet, checklist, and caveat patterns after source verification.","Do not copy any claims of legal, regulatory, engineering, compliance, or safety sufficiency as conclusions.",https://github.com/tinh2/skills-hub-registry/tree/main/combo/compliance-suite,public_evidence;due_diligence;compliance;evidence_audit;sparse_source
surface-0008,OCR,CaseMark/skills,document_processing,document_transformation,skill_package_reference,gold,copy_or_adapt_now,canonicalized,high,"Process PDF or image documents through OCR to extract text, tables, page data, and word-level positional data.","Document URL or vault object; supports PDF and image files including PNG, JPG, TIFF, BMP, and WEBP up to 500MB; requires configured casedev CLI and authentication.","OCR job status plus JSON extraction output; word arrays with text, word index, confidence, and page-level data when requested.","Check job status reaches completed, verify supported file type, inspect failure status for corrupted or unsupported documents, and use longer timeout for large files.",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,"Copy the explicit input limits, asynchronous job lifecycle, JSON-first commands, timeout handling, and word-level confidence output pattern.",Do not copy platform authentication assumptions or treat the hosted CLI as the Codex architecture without a separate ECC contract.,https://raw.githubusercontent.com/CaseMark/skills/main/skills/casedev/ocr/SKILL.md,ocr;pdf;image;text-extraction;document-processing;async-job;structured-output
surface-0009,Redline,CaseMark/skills,document_processing,document_transformation,codex_config_candidate,gold,copy_or_adapt_now,canonicalized,high,"Compare two document versions and produce structured redline analysis, change summaries, risk flags, and clause-by-clause differences.","Two local files, vault objects, or document URLs; accepts PDF, DOCX, DOC, and TXT with mixed-format comparison supported; requires configured casedev CLI and authentication.","JSON, Markdown, or text redline output containing summary, riskFlags, changes, and stats such as modified, added, removed, and flagged sections.","Confirm the correct base and target versions, verify text extraction succeeds, use OCR first for scanned inputs, and reduce detail level for very large documents.",required before final action or conclusion,"must not make legal, medical, engineering, compliance, or safety conclusions without human review","Copy the two-input comparison contract, structured output schema, detail levels, focus filters, and explicit scanned-document fallback to OCR.",Do not copy legal-risk conclusions as autonomous final advice; keep risk flags as review aids requiring human judgment.,https://raw.githubusercontent.com/CaseMark/skills/main/skills/casedev/redline/SKILL.md,redline;document-comparison;contract-diff;versioning;risk-flags;structured-output
surface-0014,Transcription,CaseMark/skills,document_processing,document_transformation,skill_package_reference,gold,copy_or_adapt_now,canonicalized,high,Convert audio or video files into transcript text with optional speaker labels and diarization.,"Audio or video file stored in a vault object; supports MP3, WAV, M4A, FLAC, OGG, WEBM, and MP4 up to 5GB; optional language, output format, speaker-labels, expected speaker count, and auto-highlights flags.",Transcription job status and final transcript text returned as JSON after completion.,"Confirm source file is uploaded to a vault, check queued to completed status, verify supported MIME type, inspect error details on failure, and increase timeout for long recordings.",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,"Copy the vault-backed media input requirement, speaker diarization controls, job watch pattern, and explicit file type and size limits.","Do not assume transcript accuracy is sufficient for legal, medical, HR, or compliance use without human review.",https://raw.githubusercontent.com/CaseMark/skills/main/skills/casedev/transcription/SKILL.md,transcription;audio;video;diarization;media-to-text;async-job;structured-output
surface-0015,Vaults,CaseMark/skills,document_processing,document_transformation,skill_package_reference,gold,copy_or_adapt_now,canonicalized,high,"Create and manage isolated document collections, upload files or directories, download objects, and search indexed vault contents.","Vault name and optional description; files, directories, object IDs, paths, or search query; supports upload, list, download, and search operations through configured casedev CLI and authentication.","Vault records, uploaded object records, downloaded files, object lists, and JSON search results across ingested document contents.","Verify vault ID or focus is set, confirm upload and ingestion status, handle HTTP 4xx upload failures, check file size limits, and retry search with fast method if hybrid search fails.",optional unless output affects a person or external system,keep as reference pattern until copied into an ECC contract,"Copy the isolated collection model, upload-list-download-search action set, ingestion readiness check, and explicit search fallback behavior.",Do not copy encrypted hosted storage assumptions or credential handling into Codex without a scoped security and data-retention contract.,https://raw.githubusercontent.com/CaseMark/skills/main/skills/casedev/vaults/SKILL.md,vaults;document-storage;semantic-search;ingestion;corpus-management;document-processing
